DATE,QTY,PRODUCT NAME,PRICE PER UNIT,TOTAL,PAYMENT METHOD,,,,
8/10/2025,1,Flasher Relay,100,100,,,,,
8/10/2025,1,Inner Tube 2.75-14,130,130,,,,,
8/10/2025,1,Gasket Maker Sealant,45,45,,,,,
8/10/2025,1,Battery Terminal Set,30,30,,,,,
8/10/2025,1,Fuse (Pack of 5),20,20,,,,,
8/10/2025,1,Valve Cap (Pair),25,25,,,,,
8/10/2025,1,Bolt M8x20,20,20,,,,,
8/10/2025,1,Oil Seal Scooter (MIO),60,60,,,,,
8/10/2025,1,Brake Pad,120,120,,,,,
8/10/2025,1,TENSIONER,100,100,,,,,
8/10/2025,2,Silvestre AT Fully 800ml,260,520,,,,,
8/10/2025,1,Yamalube  Blue Core 1LE,360,360,,,,,
8/10/2025,1,Gear Oil (FULLY),95,95,,,,,
8/10/2025,1,PULLEY BALL HIRC,310,310,,,,,
8/10/2025,1,Clutch Spring,175,175,,,,,
8/10/2025,1,CENTER CLUTCH HIRC,335,335,,,,,
8/10/2025,1,HANDLE SWITCH (1PH),150,150,,,,,
8/10/2025,1,CARB XRM 125,750,750,,,,,
8/10/2025,1,AX 7 12,360,360,,,,,
8/10/2025,2,VS 1 - 250ML,70,70,,,,,
8/10/2025,1,EXHAUST GASKET,30,30,,,,,
8/10/2025,1,Center Stand,360,360,,,,,
8/10/2025,3,CLIP (CLUCHN ORIG),225,225,,,,,
8/10/2025,1,E-TAPE,30,30,,,,,
8/10/2025,1,RUG,10,10,,,,,
8/10/2025,1,Flasher,100,100,,,,,
8/10/2025,1,CARBU PL (MIO),360,360,,,,,
8/10/2025,1,SEALANT,120,120,,,,,
8/10/2025,1,2.50-17 TUBE,170,170,,,,,
8/10/2025,1,CLIP,20,20,,,,,
8/10/2025,1,BURNER SLIDE,150,150,,,,,
8/10/2025,1,BRAKE CABLE W-100,120,120,,,,,
8/10/2025,1,Electrical,30,30,,,,,
8/10/2025,1,FUEL FILTER,70,70,,,,,
8/10/2025,1,CVT CLEANER,220,220,,,,,
8/10/2025,1,SPARK PLUG NGK,80,80,,,,,
8/10/2025,1,Spall Plug Tubeless,"1,000","1,000",,,,,
8/10/2025,1,FORK OIL,80,80,,,,,
8/10/2025,1,CASTROL 800ML,315,315,,,,,
8/10/2025,1,RUBBER DUMPER,100,100,,,,,
8/10/2025,1,ACTIVE E 80ml,240,240,,,,,
8/10/2025,1,SEAT COVER,300,300,,,,,
8/10/2025,2,SANDPAPER,30,60,,,,,
8/10/2025,2,CVT SPRAY,220,440,,,,,
8/10/2025,2,FUSE ,10,20,,,,,
8/10/2025,1,PRESTONE COOLANT ,180,180,,,,,
8/10/2025,1,CASTROL 800ML,265,265,,,,,
8/10/2025,1,HI TEMP,30,30,,,,,
